tconst,primaryTitle,titleType,startYear,genres,numVotesCurrent,numVotesPrevious,deltaVotes,pctChange
tt0120382,The Truman Show,movie,1998,"Comedy,Drama",1387282,1385219,2063,0.15
tt0427340,Masters of the Universe,movie,2026,"Action,Adventure,Fantasy",46136,44075,2061,4.68
tt34991493,Dutton Ranch,tvSeries,2026,"Drama,Western",18326,16271,2055,12.63
tt31728330,They Will Kill You,movie,2026,"Action,Comedy,Horror",43103,41064,2039,4.97
tt29567915,Nuremberg,movie,2025,"Biography,Drama,History",107555,105587,1968,1.86
tt5950044,Superman,movie,2025,"Action,Adventure,Sci-Fi",429757,427841,1916,0.45
tt17490712,Mortal Kombat II,movie,2026,"Action,Adventure,Fantasy",61867,59977,1890,3.15
tt0172495,Gladiator,movie,2000,"Action,Adventure,Drama",1861515,1859633,1882,0.1
tt0110912,Pulp Fiction,movie,1994,"Crime,Drama",2448419,2446542,1877,0.08
tt15239678,Dune: Part Two,movie,2024,"Action,Adventure,Drama",774075,772217,1858,0.24
tt7286456,Joker,movie,2019,Drama,1706594,1704741,1853,0.11
tt6723592,Tenet,movie,2020,"Action,Sci-Fi,Thriller",692285,690435,1850,0.27
tt6751668,Parasite,movie,2019,"Drama,Thriller",1177733,1175887,1846,0.16
tt4154756,Avengers: Infinity War,movie,2018,"Action,Adventure,Sci-Fi",1384777,1382947,1830,0.13
tt10872600,Spider-Man: No Way Home,movie,2021,"Action,Adventure,Fantasy",1033543,1031716,1827,0.18
tt0372784,Batman Begins,movie,2005,Crime,1725581,1723770,1811,0.11
tt0167260,The Lord of the Rings: The Return of the King,movie,2003,"Adventure,Drama,Fantasy",2175737,2173967,1770,0.08
tt0120737,The Lord of the Rings: The Fellowship of the Ring,movie,2001,"Adventure,Drama,Fantasy",2218160,2216402,1758,0.08
tt1853728,Django Unchained,movie,2012,"Drama,Western",1895496,1893752,1744,0.09
tt0068646,The Godfather,movie,1972,"Crime,Drama",2237696,2235972,1724,0.08
tt33546863,Off Campus,tvSeries,2026,"Drama,Romance,Sport",44462,42752,1710,4.0
tt0107290,Jurassic Park,movie,1993,"Adventure,Sci-Fi",1186530,1184822,1708,0.14
tt0209144,Memento,movie,2000,"Drama,Music,Mystery",1443178,1441485,1693,0.12
tt4154796,Avengers: Endgame,movie,2019,"Action,Adventure,Sci-Fi",1460034,1458346,1688,0.12
tt0264464,Catch Me If You Can,movie,2002,"Biography,Crime,Drama",1250914,1249231,1683,0.13
tt0114709,Toy Story,movie,1995,"Adventure,Animation,Comedy",1186648,1184972,1676,0.14
tt14688458,Silo,tvSeries,2023,"Drama,Mystery,Sci-Fi",220696,219077,1619,0.74
tt1160419,Dune: Part One,movie,2021,"Action,Adventure,Drama",1073792,1072174,1618,0.15
tt7366338,Chernobyl,tvMiniSeries,2019,"Drama,History,Thriller",1049810,1048199,1611,0.15
tt4357198,How to Make a Killing,movie,2026,"Comedy,Drama,Thriller",35465,33857,1608,4.75
tt3032476,Better Call Saul,tvSeries,2015,"Crime,Drama",848394,846789,1605,0.19
tt16431404,Apex,movie,2026,"Action,Thriller",98023,96421,1602,1.66
tt0133093,The Matrix,movie,1999,"Action,Sci-Fi",2260057,2258472,1585,0.07
tt27681354,In the Grey,movie,2026,"Action,Drama,Thriller",28549,26976,1573,5.83
tt0167261,The Lord of the Rings: The Two Towers,movie,2002,"Adventure,Drama,Fantasy",1967397,1965830,1567,0.08
tt22202452,Pluribus,tvSeries,2025,"Drama,Sci-Fi",164303,162739,1564,0.96
tt2560140,Attack on Titan,tvSeries,2013,"Action,Adventure,Animation",730986,729431,1555,0.21
tt0120689,The Green Mile,movie,1999,"Crime,Drama,Fantasy",1570823,1569280,1543,0.1
tt34685692,Over Your Dead Body,movie,2026,"Action,Comedy,Thriller",25282,23746,1536,6.47
tt2582802,Whiplash,movie,2014,"Drama,Music",1166159,1164632,1527,0.13
