tconst,primaryTitle,titleType,startYear,genres,averageRating,numVotes,category
tt0096633,Legend of the Galactic Heroes,tvSeries,1988,"Action,Animation,Drama",9.0,6709,cult
tt19882482,B.E. Rojgaar,tvSeries,2022,Drama,9.0,6668,cult
tt0353975,Sandesham,movie,1991,"Comedy,Drama",9.0,6293,cult
tt0996994,The War,tvMiniSeries,2007,"Documentary,History,War",9.0,6054,cult
tt6725158,Fanny and Alexander,tvMiniSeries,1983,Drama,9.0,5239,cult
tt27446493,Twinkling Watermelon,tvSeries,2023,"Comedy,Drama,Fantasy",8.9,12852,cult
tt0075143,The Message,movie,1976,"Biography,Drama,History",8.9,11781,cult
tt5851616,Tash Ma Tash,tvSeries,1993,"Comedy,Drama",8.9,11287,cult
tt0281491,Still Game,tvSeries,2002,Comedy,8.9,11023,cult
tt16747572,The Silence of Swastika,movie,2021,"Documentary,History",8.9,10677,cult
tt11992526,Harga,tvSeries,2021,Drama,8.9,10081,cult
tt0237376,Kireedam,movie,1989,"Action,Drama",8.9,9653,cult
tt10478048,The Other Me,tvSeries,2019,"Crime,Drama,Mystery",8.9,8058,cult
tt2845786,Anthony Bourdain: Parts Unknown,tvSeries,2013,"Adventure,Documentary",8.9,7785,cult
tt1832668,How the Universe Works,tvSeries,2010,Documentary,8.9,7660,cult
tt6244192,Leah Remini: Scientology and the Aftermath,tvSeries,2016,"Documentary,History,Mystery",8.9,6784,cult
tt5510934,The Unnamed,movie,2016,Drama,8.9,6101,cult
tt31853193,Gundi: Legend of Love,movie,2024,"Biography,Sport",8.9,5907,cult
tt2403201,Humsafar,tvSeries,2011,"Drama,Romance",8.9,5180,cult
tt5773402,Dominion,movie,2018,Documentary,8.9,5087,cult
tt1518542,Sarabhai V/S Sarabhai,tvSeries,2004,Comedy,8.8,19771,cult
tt0084302,The Marathon Family,movie,1982,"Comedy,Drama",8.8,18050,cult
tt0481256,Fighting Spirit,tvSeries,2000,"Action,Animation,Comedy",8.8,16869,cult
tt6108262,Black Sun,tvSeries,2017,"Crime,Drama,Thriller",8.8,13581,cult
tt2077886,The Phantom of the Opera at the Royal Albert Hall,movie,2011,"Drama,Musical,Romance",8.8,10744,cult
