tconst,primaryTitle,titleType,startYear,genres,averageRating,numVotes
tt0114814,The Usual Suspects,movie,1995,"Crime,Drama,Mystery",8.5,1232492
tt6751668,Parasite,movie,2019,"Drama,Thriller",8.5,1150385
tt2582802,Whiplash,movie,2014,"Drama,Music",8.5,1143177
tt0078748,Alien,movie,1979,"Horror,Sci-Fi",8.5,1058035
tt1675434,The Intouchables,movie,2011,"Comedy,Drama",8.5,1020495
tt0253474,The Pianist,movie,2002,"Biography,Drama,Music",8.5,1006210
tt0054215,Psycho,movie,1960,"Drama,Horror,Mystery",8.5,781736
tt3581920,The Last of Us,tvSeries,2023,"Action,Adventure,Drama",8.5,730529
tt10048342,The Queen's Gambit,tvMiniSeries,2020,Drama,8.5,656655
tt0034583,Casablanca,movie,1942,"Drama,Romance,War",8.5,653014
tt2306299,Vikings,tvSeries,2013,"Action,Adventure,Drama",8.5,638382
tt10811166,The Kashmir Files,movie,2022,Drama,8.5,578753
tt0047396,Rear Window,movie,1954,"Drama,Mystery,Thriller",8.5,566860
